Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL,Size_m2,price_per_sqft,month
Runda,house,5,6.0,"0,5 m²",130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,0.5,260000000.0,2
Loresho,townhouse,4,4.0,432 m²,108000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,432.0,250000.0,2
Rosslyn,house,4,4.0,,91000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,1421875.0,2
Lavington,townhouse,4,4.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,1328125.0,2
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,1171875.0,2
Runda,house,7,7.0,518 m²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,518.0,308880.3088803089,2
Kileleshwa,villa,6,7.0,503 m²,67000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,503.0,133200.79522862824,2
Kileleshwa,villa,5,5.0,418 m²,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,418.0,131578.94736842104,2
Kileleshwa,villa,5,5.0,360 m²,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,360.0,133333.33333333334,2
Kileleshwa,villa,6,6.0,503 m²,67000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,503.0,133200.79522862824,2
Kileleshwa,villa,5,5.0,488 m²,64000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,488.0,131147.54098360657,2
Kileleshwa,villa,6,6.0,740 m²,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,740.0,132432.43243243243,2
Kileleshwa,villa,4,5.0,609 m²,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,609.0,133004.92610837438,2
Lavington,villa,5,5.0,,220000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,3437500.0,2
Kileleshwa,villa,3,4.0,255 m²,33000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,255.0,129411.76470588235,2
Karen,house,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,2500000.0,2
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,1171875.0,2
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,1265625.0,2
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,1328125.0,2
Lavington,townhouse,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,64.0,2500000.0,2
Lavington,villa,5,5.0,630 m²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,630.0,253968.25396825396,2
"Kahawa Sukari, Roysambu",house,4,4.0,,45000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,64.0,703125.0,2
